Year,State,Region,Percentage
2011,New Mexico,West,9.4
2011,New York,Northeast,9.7
2011,North Carolina,South,10.2
2011,North Dakota,Midwest,7.6
2011,Ohio,Midwest,9.1
2011,Oklahoma,South,10.5
2011,Oregon,West,8.4
2011,Pennsylvania,Northeast,8.4
2011,Rhode Island,Northeast,7.8
2011,South Carolina,South,11.2
2011,South Dakota,Midwest,8.7
2011,Tennessee,South,10.3
2011,Texas,South,10.3
2011,Utah,West,7.4
2011,Vermont,Northeast,6.8
2011,Virginia,South,9.9
2011,Washington,West,8.5
2011,West Virginia,South,10.6
2011,Wisconsin,Midwest,7.6
2011,Wyoming,West,7.8
2012,Alabama,South,11.1
2012,Alaska,West,7.2
2012,Arizona,West,10.1
2012,Arkansas,South,10.3
2012,California,West,9.6
2012,Colorado,West,7.2
2012,Connecticut,Northeast,8.2
2012,Delaware,South,8.7
2012,District of Columbia,South,9.0
2012,Florida,South,9.9
2012,Georgia,South,9.6
2012,Hawaii,West,7.0
2012,Idaho,West,7.8
2012,Illinois,Midwest,8.9
2012,Indiana,Midwest,10.1
2012,Iowa,Midwest,8.6
2012,Kansas,Midwest,8.8
2012,Kentucky,South,9.8
2012,Louisiana,South,11.5
2012,Maine,Northeast,8.2
2012,Maryland,South,9.4
2012,Massachusetts,Northeast,7.7
2012,Michigan,Midwest,9.4
2012,Minnesota,Midwest,6.8
2012,Mississippi,South,11.7
2012,Missouri,Midwest,9.6
2012,Montana,West,6.2
2012,Nebraska,Midwest,7.4
2012,Nevada,West,8.5
2012,New Hampshire,Northeast,7.8
2012,New Jersey,Northeast,8.4
2012,New Mexico,West,9.4
2012,New York,Northeast,9.0
2012,North Carolina,South,9.7
2012,North Dakota,Midwest,7.8
2012,Ohio,Midwest,10.5
2012,Oklahoma,South,10.6
2012,Oregon,West,9.1
2012,Pennsylvania,Northeast,8.9
2012,Rhode Island,Northeast,8.9
2012,South Carolina,South,10.6
2012,South Dakota,Midwest,7.0
2012,Tennessee,South,10.9
2012,Texas,South,10.6
2012,Utah,West,7.9
2012,Vermont,Northeast,6.4
2012,Virginia,South,9.8
2012,Washington,West,8.2
2012,West Virginia,South,11.1
2012,Wisconsin,Midwest,7.5
2012,Wyoming,West,8.4
2013,Alabama,South,12.7
2013,Alaska,West,7.3
2013,Arizona,West,9.8
2013,Arkansas,South,10.5
2013,California,West,9.9
2013,Colorado,West,6.3
2013,Connecticut,Northeast,7.4
2013,Delaware,South,9.9
2013,District of Columbia,South,8.4
2013,Florida,South,9.4
2013,Georgia,South,10.4
2013,Hawaii,West,7.5
2013,Idaho,West,7.8
2013,Illinois,Midwest,9.2
2013,Indiana,Midwest,10.0
2013,Iowa,Midwest,8.3
2013,Kansas,Midwest,8.8
2013,Kentucky,South,9.7
2013,Louisiana,South,10.8
2013,Maine,Northeast,8.1
2013,Maryland,South,9.2
2013,Massachusetts,Northeast,7.7
2013,Michigan,Midwest,9.3
2013,Minnesota,Midwest,6.8
2013,Mississippi,South,12.0
2013,Missouri,Midwest,8.7
2013,Montana,West,6.7
2013,Nebraska,Midwest,8.4
2013,Nevada,West,9.0
2013,New Hampshire,Northeast,8.1
2013,New Jersey,Northeast,8.2
2013,New Mexico,West,9.8
2013,New York,Northeast,9.7
2013,North Carolina,South,10.5
2013,North Dakota,Midwest,8.1
2013,Ohio,Midwest,9.2
2013,Oklahoma,South,10.2
2013,Oregon,West,8.3
2013,Pennsylvania,Northeast,8.7
2013,Rhode Island,Northeast,8.3
2013,South Carolina,South,11.3
2013,South Dakota,Midwest,8.2
2013,Tennessee,South,11.1
2013,Texas,South,10.9
2013,Utah,West,7.7
2013,Vermont,Northeast,6.7
2013,Virginia,South,9.2
2013,Washington,West,8.0
2013,West Virginia,South,11.2
2013,Wisconsin,Midwest,7.3
2013,Wyoming,West,8.0
2014,Alabama,South,11.8
2014,Alaska,West,7.6
2014,Arizona,West,9.1
2014,Arkansas,South,11.5
2014,California,West,9.9
2014,Colorado,West,7.0
